Dataset	Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH
Hip_Total_area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip total area	-	-	-	DNA methylation	Hip total area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
Hip_Total_T_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip total T-score	-	-	-	DNA methylation	Hip total T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Hip_Total_Z_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip total Z-score		-	-	DNA methylation	Hip total Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Hip_Troch_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Hip Troch bone mineral content	EFO_0007621	-	-	DNA methylation	Hip Troch bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Troch_area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip Troch area	-	-	-	DNA methylation	Hip Troch area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Hip_Troch_T_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip Troch T-score	-	-	-	DNA methylation	Hip Troch T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Troch_Z_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip Troch Z-score	-	-	-	DNA methylation	Hip Troch Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Wards_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip Wards bone mineral density	EFO_0007702	-	-	DNA methylation	Hip Wards bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Wards_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Hip Wards bone mineral content	EFO_0007621	-	-	DNA methylation	Hip Wards bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Wards_T_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip Wards T-score	-	-	-	DNA methylation	Hip Wards T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Cross_sectional_moment_of_inertia__CSMI____mm4___FOM1	Battram T	ARIES	-	09/04/2019	Cross sectional moment of inertia	-	-	-	DNA methylation	Cross sectional moment of inertia	Age and technical covariates	Beta values	mm4	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Bone_cross_sectional_area__CSA___mm2___FOM1	Battram T	ARIES	-	09/04/2019	Bone cross sectional area	-	-	-	DNA methylation	Bone cross sectional area	Age and technical covariates	Beta values	mm2	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Hip_axis_length__mm___FOM1	Battram T	ARIES	-	09/04/2019	Hip axis length	-	-	-	DNA methylation	Hip axis length	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	655	1	-	48	-	655	655	-	-	-	-	-
Strength_Index__FOM1	Battram T	ARIES	-	09/04/2019	Strength index	-	-	-	DNA methylation	Strength index	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-
Alpha__deg__Neck_angle___FOM1	Battram T	ARIES	-	09/04/2019	Alpha neck angle	-	-	-	DNA methylation	Alpha neck angle	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	648	1	-	48	-	648	648	-	-	-	-	-
Theta__deg__Neck_angle___FOM1	Battram T	ARIES	-	09/04/2019	Theta neck angle	-	-	-	DNA methylation	Theta neck angle	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Hip_Neck_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip neck bone mineral density	EFO_0007702	-	-	DNA methylation	Hip neck bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Neck_BMC__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip neck bone mineral content	EFO_0007621	-	-	DNA methylation	Hip neck bone mineral content	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Hip_Neck_Area__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip neck area	-	-	-	DNA methylation	Hip neck area	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-
Hip_Neck_T_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip neck T-score	-	-	-	DNA methylation	Hip neck T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Neck_Z_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip neck Z-score	-	-	-	DNA methylation	Hip neck Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Hip_Upper_Neck_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip upper neck bone mineral density	EFO_0007702	-	-	DNA methylation	Hip upper neck bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Upper_Neck_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Hip upper neck bone mineral content	EFO_0007621	-	-	DNA methylation	Hip upper neck bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Hip_Upper_Neck_area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip upper neck area	-	-	-	DNA methylation	Hip upper neck area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-
Hip_Upper_Neck_T_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip upper neck T-score	-	-	-	DNA methylation	Hip upper neck T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Upper_Neck_Z_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip upper neck Z-score	-	-	-	DNA methylation	Hip upper neck Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Hip_Lower_Neck_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip lower neck bone mineral density	EFO_0007702	-	-	DNA methylation	Hip lower neck bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Hip_Lower_Neck_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Hip lower neck bone mineral content	EFO_0007621	-	-	DNA methylation	Hip lower neck bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Hip_Lower_Neck_area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip lower neck area	-	-	-	DNA methylation	Hip lower neck area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-
Hip_cortical_ratio_shaft__FOM1	Battram T	ARIES	-	09/04/2019	Hip cortical ratio shaft	-	-	-	DNA methylation	Hip cortical ratio shaft	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	651	1	-	48	-	651	651	-	-	-	-	-
DV__Mean_diastolic_blood_pressure___Right_arm__FOM1	Battram T	ARIES	-	09/04/2019	Diastolic blood pressure right arm	EFO_0006336	-	-	DNA methylation	Diastolic blood pressure right arm	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
DV__Mean_pulse_rate___Right_arm__FOM1	Battram T	ARIES	-	09/04/2019	Pulse rate right arm	NCIT_C49676	-	-	DNA methylation	Pulse rate right arm	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
DV__Mean_diastolic_blood_pressure___Left_arm__FOM1	Battram T	ARIES	-	09/04/2019	Diastolic blood pressure left arm	EFO_0006336	-	-	DNA methylation	Diastolic blood pressure left arm	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
DV__Mean_pulse_rate___Left_arm__FOM1	Battram T	ARIES	-	09/04/2019	Pulse rate left arm	NCIT_C49676	-	-	DNA methylation	Pulse rate left arm	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
DV__Mean_diastolic_blood_pressure___Both_arms__FOM1	Battram T	ARIES	-	09/04/2019	Diastolic blood pressure	EFO_0006336	-	-	DNA methylation	Diastolic blood pressure	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
DV__Mean_pulse_rate___Both_arms__FOM1	Battram T	ARIES	-	09/04/2019	Pulse rate	NCIT_C49676	-	-	DNA methylation	Pulse rate	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Right_arm_Arterial_distensibility__mm___FOM1	Battram T	ARIES	-	09/04/2019	Arm arterial distensibility right	PATO_0015008	-	-	DNA methylation	Arm arterial distensibility right	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	682	1	-	48	-	682	682	-	-	-	-	-
Right_arm_common_carotid_intima_media_thickness__mm___FOM1	Battram T	ARIES	-	09/04/2019	Arm common carotid intima-media thickness right	EFO_0004860	-	-	DNA methylation	Arm common carotid intima-media thickness right	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	680	1	-	48	-	680	680	-	-	-	-	-
Left_arm_Arterial_distensibility__mm___FOM1	Battram T	ARIES	-	09/04/2019	Arm arterial distensibility left	PATO_0015008	-	-	DNA methylation	Arm arterial distensibility left	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	680	1	-	48	-	680	680	-	-	-	-	-
Left_arm_common_carotid_intima_media_thickness__mm___FOM1	Battram T	ARIES	-	09/04/2019	Arm common carotid intima-media thickness left	EFO_0004860	-	-	DNA methylation	Arm common carotid intima-media thickness left	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Average_Arterial_distensibility__mm___FOM1	Battram T	ARIES	-	09/04/2019	Arterial distensibility	PATO_0015008	-	-	DNA methylation	Arterial distensibility	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Average_common_carotid_intima_media_thickness__mm___FOM1_	Battram T	ARIES	-	09/04/2019	Common carotid intima-media thickness 	EFO_0004860	-	-	DNA methylation	Common carotid intima-media thickness 	Age and technical covariates	Beta values	mm	Illumina HumanMethylation450	Whole blood	-	685	1	-	48	-	685	685	-	-	-	-	-
Phospholipids_in_very_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in very small VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_cholesterol_in_very_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in very small VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Cholesterol_esters_in_very_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in very small VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Free_cholesterol_in_very_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in very small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Triglycerides_in_very_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in very small VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides in very small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Concentration_of_IDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of IDL particles	EFO_0008595	-	-	DNA methylation	Concentration of IDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_lipids_in_IDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in IDL	-	-	-	DNA methylation	Total lipids in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phospholipids_in_IDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in IDL	EFO_0004639	-	-	DNA methylation	Phospholipids in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_cholesterol_in_IDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in IDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Cholesterol_esters_in_IDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in IDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Free_cholesterol_in_IDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in IDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Triglycerides_in_IDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in IDL	EFO_0004530	-	-	DNA methylation	Triglycerides in IDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Concentration_of_large_LDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of large LDL particles	-	-	-	DNA methylation	Concentration of large LDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_lipids_in_large_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in large LDL	-	-	-	DNA methylation	Total lipids in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phospholipids_in_large_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in large LDL	EFO_0004639	-	-	DNA methylation	Phospholipids in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_cholesterol_in_large_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in large LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Cholesterol_esters_in_large_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in large LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Free_cholesterol_in_large_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in large LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Triglycerides_in_large_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in large LDL	EFO_0004530	-	-	DNA methylation	Triglycerides in large LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Concentration_of_medium_LDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of medium LDL particles	-	-	-	DNA methylation	Concentration of medium LDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_lipids_in_medium_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in medium LDL	-	-	-	DNA methylation	Total lipids in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phospholipids_in_medium_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in medium LDL	EFO_0004639	-	-	DNA methylation	Phospholipids in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_cholesterol_in_medium_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in medium LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Cholesterol_esters_in_medium_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in medium LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Free_cholesterol_in_medium_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in medium LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Triglycerides_in_medium_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in medium LDL	EFO_0004530	-	-	DNA methylation	Triglycerides in medium LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Concentration_of_small_LDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of small LDL particles	-	-	-	DNA methylation	Concentration of small LDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_lipids_in_small_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in small LDL	-	-	-	DNA methylation	Total lipids in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phospholipids_in_small_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in small LDL	EFO_0004639	-	-	DNA methylation	Phospholipids in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_cholesterol_in_small_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in small LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Cholesterol_esters_in_small_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in small LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Free_cholesterol_in_small_LDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in small LDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in small LDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Concentration_of_large_HDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of large HDL particles	-	-	-	DNA methylation	Concentration of large HDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_lipids_in_large_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in large HDL	-	-	-	DNA methylation	Total lipids in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phospholipids_in_large_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_cholesterol_in_large_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in large HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Cholesterol_esters_in_large_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in large HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Free_cholesterol_in_large_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Triglycerides_in_large_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in large HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Concentration_of_medium_HDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of medium HDL particles	-	-	-	DNA methylation	Concentration of medium HDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_lipids_in_medium_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in medium HDL	-	-	-	DNA methylation	Total lipids in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phospholipids_in_medium_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in medium HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_cholesterol_in_medium_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in medium HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Cholesterol_esters_in_medium_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in medium HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Free_cholesterol_in_medium_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in medium HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Triglycerides_in_medium_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in medium HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in medium HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Concentration_of_small_HDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of small HDL particles	-	-	-	DNA methylation	Concentration of small HDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_lipids_in_small_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in small HDL	-	-	-	DNA methylation	Total lipids in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Phospholipids_in_small_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in small HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Total_cholesterol_in_small_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in small HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Cholesterol_esters_in_small_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in small HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in small HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
